id,web_name,team,element_type,now_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,selected_by_percent,form,points_per_game,value_season,transfers_in,transfers_out,position
1,Fábio Vieira,1,3,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,439,2819,MID
2,G.Jesus,1,4,6.5,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,42,1.1,0.0,2.5,6.5,1237823,1404641,FWD
3,Gabriel,1,2,6.4,2348,3,2,10,22,0,0,0,4,0,0,9,456,583.0,208.6,287.0,108.0,116,30.4,4.4,4.3,18.1,4822972,3075853,DEF
4,Havertz,1,4,7.7,1839,9,3,7,20,0,0,0,4,0,0,14,340,467.2,257.0,701.0,142.6,96,6.0,0.0,4.6,12.5,2589026,3505281,FWD
5,Hein,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4509,GKP
6,J.Timber,1,2,5.6,2199,1,2,10,18,0,0,0,7,0,0,8,382,351.2,270.3,227.0,84.7,101,4.9,5.6,3.9,18.0,1379524,987801,DEF
7,Jorginho,1,3,4.7,540,0,0,2,5,0,0,0,4,0,0,0,88,37.4,69.8,5.0,11.3,16,0.2,0.6,1.3,3.4,30401,48738,MID
8,Kiwior,1,2,4.8,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,13,0.2,0.0,1.6,2.7,26405,37338,DEF
9,Martinelli,1,3,6.5,1562,6,3,8,15,0,0,0,1,0,0,6,290,402.8,389.9,632.0,142.5,93,2.0,0.8,3.9,14.3,1128481,1275013,MID
12,Nwaneri,1,3,4.6,595,3,1,2,3,0,0,0,1,0,0,4,174,197.4,160.0,163.0,52.0,46,4.3,3.2,2.4,10.0,679041,220381,MID
13,Ødegaard,1,3,8.2,1724,2,4,9,13,0,0,0,3,0,0,7,357,358.8,693.5,360.0,141.5,76,5.2,3.2,3.6,9.3,1007189,2067937,MID
15,Raya,1,1,5.5,2610,0,0,11,24,0,0,0,2,0,71,9,446,615.4,0.5,0.0,61.7,117,26.1,4.8,4.0,21.3,2860607,2922888,GKP
16,Rice,1,3,6.2,2154,2,5,9,22,0,0,0,3,1,0,11,472,521.6,761.6,260.0,153.9,89,2.9,4.0,3.3,14.4,314747,685728,MID
17,Saka,1,3,10.2,1268,5,11,6,13,0,0,0,3,0,0,16,435,516.2,630.0,604.0,174.9,107,8.5,0.0,6.7,10.5,5228285,7686117,MID
18,Saliba,1,2,6.2,2364,2,0,11,20,0,0,0,2,1,0,14,466,527.2,94.5,101.0,72.5,114,22.6,5.4,4.2,18.4,2442876,4274714,DEF
20,Thomas,1,3,4.9,2185,3,3,7,22,0,0,0,4,0,0,6,456,487.4,316.1,142.0,94.9,85,0.8,1.8,3.0,17.3,292381,268356,MID
21,Tierney,1,2,4.3,77,0,0,0,0,0,0,0,0,0,0,0,23,15.8,37.7,11.0,6.5,6,0.0,0.8,1.0,1.4,5120,7423,DEF
22,Tomiyasu,1,2,4.8,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,1,0.0,0.0,1.0,0.2,1839,7916,DEF
23,Trossard,1,3,6.8,1899,4,6,9,18,0,0,0,2,1,0,10,382,405.2,503.3,544.0,144.9,100,3.1,3.0,3.4,14.7,820734,740748,MID
24,White,1,2,6.1,703,0,1,3,7,0,0,0,2,0,0,0,117,133.4,57.3,35.0,22.5,29,2.1,0.4,2.6,4.8,154104,989165,DEF
25,Zinchenko,1,2,4.8,292,0,0,2,0,0,0,0,1,0,0,0,72,25.2,33.3,39.0,9.7,19,0.9,0.4,1.9,4.0,94168,314098,DEF
73,Neto,1,1,4.1,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,7,0.7,0.0,3.5,1.7,90342,253077,GKP
186,Sterling,1,3,6.7,303,0,1,1,2,0,0,0,1,0,0,0,37,39.8,81.2,99.0,21.8,17,0.8,1.0,1.4,2.5,53262,161651,MID
578,Calafiori,1,2,5.8,921,2,1,1,12,0,0,0,4,0,0,1,133,249.6,116.2,174.0,53.9,37,1.3,0.6,2.2,6.4,245226,404906,DEF
597,Lewis-Skelly,1,3,4.5,762,1,0,4,7,0,0,0,2,2,0,0,132,119.6,89.8,39.0,24.5,22,0.3,1.0,1.6,4.9,71368,46356,MID
633,Merino,1,3,6.0,1140,5,1,4,11,0,0,0,2,0,0,5,242,327.8,210.0,391.0,92.8,68,0.8,5.8,3.2,11.3,144998,61383,MID
638,Oulad M'hand,1,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2529,2110,MID
639,Setford,1,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,4070,4451,GKP
657,Kacurri,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,11257,9849,DEF
659,Kabia,1,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2878,2347,MID
662,Nichols,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,5766,4275,DEF
665,Butler-Oyedeji,1,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,56923,44432,FWD
735,Arteta,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,3.5,5.6,0.0,32.0,112716,76531,
756,Porter,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1066,406,GKP
28,Bailey,2,3,6.2,1131,1,2,2,19,0,0,0,3,0,0,2,169,144.4,234.8,323.0,69.8,46,0.8,0.4,2.0,7.4,180220,465018,MID
29,Barkley,2,3,5.2,544,3,1,1,9,0,0,0,3,0,0,5,150,203.4,115.5,185.0,50.3,40,0.2,0.0,2.5,7.7,26043,90935,MID
30,Barrenechea,2,3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,872,5317,MID
31,Buendia,2,3,5.1,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,11,0.1,0.0,0.9,2.2,6966,16802,MID
32,Cash,2,2,4.4,1395,1,1,2,18,0,0,0,6,0,0,1,143,247.8,133.9,111.0,49.3,41,0.9,0.6,2.2,9.3,202887,424195,DEF
33,Dendoncker,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,18187,93415,MID
34,Diaby,2,3,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3412,MID
35,Diego Carlos,2,2,4.5,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,21,0.3,0.0,2.1,4.7,50956,94404,DEF
36,Digne,2,2,4.5,2059,0,5,4,34,0,0,0,3,0,0,6,321,454.0,533.6,112.0,109.9,75,6.3,2.4,2.7,16.7,1946764,1561378,DEF
37,Dobbin,2,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,294,MID
38,Duran,2,4,5.7,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334.0,67.5,53,1.7,0.0,2.6,9.3,1376643,1328789,FWD
39,Gauci,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.6,0.0,0.0,0.0,63380,72284,GKP
40,Hause,2,2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.6,0.0,0.0,0.0,60346,70958,DEF
41,Iling Jr,2,3,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,342,6747,MID
42,Kamara,2,3,5.0,1077,0,0,2,18,0,0,0,2,0,0,1,179,214.4,110.7,34.0,36.1,30,0.0,0.4,1.8,6.0,8828,7686,MID
43,Kesler-Hayden,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1658,DEF
44,Konsa,2,2,4.4,2171,1,0,3,39,0,0,0,0,0,0,6,277,379.6,84.3,88.0,55.2,59,5.0,1.8,2.4,13.4,1039356,1773446,DEF
45,Maatsen,2,2,4.5,604,0,1,0,12,0,0,0,2,0,0,0,88,141.6,228.9,112.0,48.3,24,1.2,1.0,1.1,5.3,88766,335899,DEF
46,Marschall,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,86,GKP
47,Martinez,2,1,5.0,2430,0,0,3,41,0,1,0,2,0,73,2,296,614.2,0.0,0.0,61.5,73,11.0,1.6,2.6,14.6,1423439,1700482,GKP
48,McGinn,2,3,5.2,1775,0,3,4,32,0,0,0,6,0,0,1,255,178.4,386.5,172.0,73.4,53,0.6,1.8,2.1,10.2,104420,265613,MID
49,Mings,2,2,4.4,780,0,1,2,9,0,0,0,1,0,0,5,138,178.4,35.1,51.0,26.6,31,0.1,3.0,3.1,7.0,30033,26902,DEF
50,Nedeljkovic,2,2,3.9,121,0,0,0,4,0,0,0,0,0,0,0,11,22.8,7.2,0.0,3.0,5,0.6,0.0,1.0,1.3,256190,250665,DEF
51,Olsen,2,1,4.5,180,0,0,1,4,0,0,0,0,0,5,0,21,37.0,0.0,0.0,3.7,8,0.1,1.4,2.7,1.8,11787,15984,GKP
52,Pau,2,2,4.2,1549,0,0,2,29,0,0,0,1,0,0,0,162,261.2,55.5,94.0,41.2,32,0.7,0.0,1.8,7.6,234079,323240,DEF
53,Ramsey,2,3,5.4,1245,1,3,2,23,0,0,0,1,0,0,3,208,190.8,208.4,187.0,58.6,52,0.4,2.2,2.5,9.6,102641,106005,MID
54,Rogers,2,3,5.5,2337,7,5,5,36,0,0,0,8,0,0,11,367,502.0,525.3,531.0,155.9,113,16.2,3.2,4.0,20.5,5511333,4672936,MID
55,Sinisalo,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,84,GKP
56,Sousa,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,19035,DEF
57,Tielemans,2,3,5.5,2491,2,4,4,40,0,0,1,4,0,0,9,540,629.6,813.9,220.0,166.4,85,1.2,3.8,2.9,15.5,329649,314877,MID
58,Watkins,2,4,8.9,2052,13,6,7,35,0,0,0,0,0,0,24,497,616.0,288.6,958.0,184.6,147,18.1,6.2,5.1,16.5,4398643,6050188,FWD
167,Disasi,2,2,4.2,723,1,0,3,10,0,0,0,2,0,0,0,120,154.0,64.2,50.0,26.9,30,0.5,1.6,3.0,7.1,102070,105059,DEF
233,Onana,2,3,4.8,1078,2,0,2,21,0,0,0,4,0,0,5,199,229.2,107.2,180.0,51.8,41,2.1,0.0,2.4,8.5,1442221,1477902,MID
