id,web_name,team,element_type,now_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,selected_by_percent,form,points_per_game,value_season,transfers_in,transfers_out,status,chance_of_playing_next_round,position,fixture_difficulty,id_team,team_name
1,Fábio Vieira,1,3,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,439,2819,u,0.0,MID,2.888888888888889,1,Arsenal
2,G.Jesus,1,4,6.5,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,42,1.1,0.0,2.5,6.5,1237823,1404647,i,0.0,FWD,2.888888888888889,1,Arsenal
3,Gabriel,1,2,6.4,2348,3,2,10,22,0,0,0,4,0,0,9,456,583.0,208.6,287.0,108.0,116,30.4,4.4,4.3,18.1,4823330,3075988,a,100.0,DEF,2.888888888888889,1,Arsenal
4,Havertz,1,4,7.7,1839,9,3,7,20,0,0,0,4,0,0,14,340,467.2,257.0,701.0,142.6,96,6.0,0.0,4.6,12.5,2589028,3505296,i,0.0,FWD,2.888888888888889,1,Arsenal
5,Hein,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4509,u,0.0,GKP,2.888888888888889,1,Arsenal
6,J.Timber,1,2,5.6,2199,1,2,10,18,0,0,0,7,0,0,8,382,351.2,270.3,227.0,84.7,101,4.9,5.6,3.9,18.0,1379798,987824,a,100.0,DEF,2.888888888888889,1,Arsenal
7,Jorginho,1,3,4.7,540,0,0,2,5,0,0,0,4,0,0,0,88,37.4,69.8,5.0,11.3,16,0.2,0.6,1.3,3.4,30401,48743,a,100.0,MID,2.888888888888889,1,Arsenal
8,Kiwior,1,2,4.8,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,13,0.2,0.0,1.6,2.7,26406,37338,a,,DEF,2.888888888888889,1,Arsenal
9,Martinelli,1,3,6.5,1562,6,3,8,15,0,0,0,1,0,0,6,290,402.8,389.9,632.0,142.5,93,2.0,0.8,3.9,14.3,1128504,1275018,a,100.0,MID,2.888888888888889,1,Arsenal
12,Nwaneri,1,3,4.6,595,3,1,2,3,0,0,0,1,0,0,4,174,197.4,160.0,163.0,52.0,46,4.3,3.2,2.4,10.0,679066,220545,a,100.0,MID,2.888888888888889,1,Arsenal
13,Ødegaard,1,3,8.2,1724,2,4,9,13,0,0,0,3,0,0,7,357,358.8,693.5,360.0,141.5,76,5.2,3.2,3.6,9.3,1007290,2067996,a,100.0,MID,2.888888888888889,1,Arsenal
15,Raya,1,1,5.5,2610,0,0,11,24,0,0,0,2,0,71,9,446,615.4,0.5,0.0,61.7,117,26.1,4.8,4.0,21.3,2860821,2922954,a,100.0,GKP,2.888888888888889,1,Arsenal
16,Rice,1,3,6.2,2154,2,5,9,22,0,0,0,3,1,0,11,472,521.6,761.6,260.0,153.9,89,2.9,4.0,3.3,14.4,314770,685756,a,100.0,MID,2.888888888888889,1,Arsenal
17,Saka,1,3,10.2,1268,5,11,6,13,0,0,0,3,0,0,16,435,516.2,630.0,604.0,174.9,107,8.5,0.0,6.7,10.5,5228334,7686127,d,50.0,MID,2.888888888888889,1,Arsenal
18,Saliba,1,2,6.2,2364,2,0,11,20,0,0,0,2,1,0,14,466,527.2,94.5,101.0,72.5,114,22.6,5.4,4.2,18.4,2443281,4274767,a,100.0,DEF,2.888888888888889,1,Arsenal
20,Thomas,1,3,4.9,2185,3,3,7,22,0,0,0,4,0,0,6,456,487.4,316.1,142.0,94.9,85,0.8,1.8,3.0,17.3,292387,268361,a,100.0,MID,2.888888888888889,1,Arsenal
21,Tierney,1,2,4.3,77,0,0,0,0,0,0,0,0,0,0,0,23,15.8,37.7,11.0,6.5,6,0.0,0.8,1.0,1.4,5120,7423,a,100.0,DEF,2.888888888888889,1,Arsenal
